% of Delayed Flights,Airport Code,Airport Name,Minutes of Delay per Flight,Carrier Code,Carrier Name,City,Date,Minutes of Delay,Number of Flights,Ontime Category,State
,PHX,Phoenix Sky Harbor International,,AS,Alaska,Phoenix,6/1/2013,,0,Cancelled,AZ
0%,LAX,Los Angeles International,,AS,Alaska,Los Angeles,6/1/2013,,1,Cancelled,CA
,SFO,San Francisco International,,AS,Alaska,San Francisco,6/1/2013,,0,Cancelled,CA
,DEN,Denver International,,AS,Alaska,Denver,6/1/2013,,0,Cancelled,CO
,MCO,Orlando International,,AS,Alaska,Orlando,6/1/2013,,0,Cancelled,FL
,ATL,Hartsfield-Jackson Atlanta,,AS,Alaska,Atlanta,6/1/2013,,0,Cancelled,GA
,ORD,Chicago O'Hare International,,AS,Alaska,Chicago,6/1/2013,,0,Cancelled,IL
,BOS,Logan International,,AS,Alaska,Boston,6/1/2013,,0,Cancelled,MA
,MSP,Minneapolis-St Paul International,,AS,Alaska,Minneapolis,6/1/2013,,0,Cancelled,MN
,EWR,Newark Liberty International,,AS,Alaska,Newark,6/1/2013,,0,Cancelled,NJ
,LAS,McCarran International,,AS,Alaska,Las Vegas,6/1/2013,,0,Cancelled,NV
,DFW,Dallas/Fort Worth International,,AS,Alaska,Dallas/Fort Worth,6/1/2013,,0,Cancelled,TX
,IAH,George Bush Intercontinental,,AS,Alaska,Houston,6/1/2013,,0,Cancelled,TX
,SLC,Salt Lake City International,,AS,Alaska,Salt Lake City,6/1/2013,,0,Cancelled,UT
0%,SEA,Seattle/Tacoma International,,AS,Alaska,Seattle,6/1/2013,,17,Cancelled,WA
,PHX,Phoenix Sky Harbor International,,B6,JetBlue,Phoenix,6/1/2013,,0,Cancelled,AZ
,LAX,Los Angeles International,,B6,JetBlue,Los Angeles,6/1/2013,,0,Cancelled,CA
0%,SFO,San Francisco International,,B6,JetBlue,San Francisco,6/1/2013,,7,Cancelled,CA
,DEN,Denver International,,B6,JetBlue,Denver,6/1/2013,,0,Cancelled,CO
0%,MCO,Orlando International,,B6,JetBlue,Orlando,6/1/2013,,9,Cancelled,FL
0%,ORD,Chicago O'Hare International,,B6,JetBlue,Chicago,6/1/2013,,1,Cancelled,IL
0%,BOS,Logan International,,B6,JetBlue,Boston,6/1/2013,,15,Cancelled,MA
,BWI,Baltimore/Washington International,,B6,JetBlue,Baltimore,6/1/2013,,0,Cancelled,MD
0%,CLT,Charlotte Douglas International,,B6,JetBlue,Charlotte,6/1/2013,,1,Cancelled,NC
0%,EWR,Newark Liberty International,,B6,JetBlue,Newark,6/1/2013,,8,Cancelled,NJ
,LAS,McCarran International,,B6,JetBlue,Las Vegas,6/1/2013,,0,Cancelled,NV
0%,JFK,John F. Kennedy International,,B6,JetBlue,New York,6/1/2013,,44,Cancelled,NY
0%,LGA,LaGuardia,,B6,JetBlue,New York,6/1/2013,,5,Cancelled,NY
,DFW,Dallas/Fort Worth International,,B6,JetBlue,Dallas/Fort Worth,6/1/2013,,0,Cancelled,TX
,SLC,Salt Lake City International,,B6,JetBlue,Salt Lake City,6/1/2013,,0,Cancelled,UT
,SEA,Seattle/Tacoma International,,B6,JetBlue,Seattle,6/1/2013,,0,Cancelled,WA
0%,PHX,Phoenix Sky Harbor International,,DL,Delta,Phoenix,6/1/2013,,1,Cancelled,AZ
0%,LAX,Los Angeles International,,DL,Delta,Los Angeles,6/1/2013,,5,Cancelled,CA
0%,SFO,San Francisco International,,DL,Delta,San Francisco,6/1/2013,,2,Cancelled,CA
0%,DEN,Denver International,,DL,Delta,Denver,6/1/2013,,1,Cancelled,CO
0%,MCO,Orlando International,,DL,Delta,Orlando,6/1/2013,,2,Cancelled,FL
0%,ATL,Hartsfield-Jackson Atlanta,,DL,Delta,Atlanta,6/1/2013,,97,Cancelled,GA
0%,ORD,Chicago O'Hare International,,DL,Delta,Chicago,6/1/2013,,7,Cancelled,IL
0%,BOS,Logan International,,DL,Delta,Boston,6/1/2013,,1,Cancelled,MA
0%,BWI,Baltimore/Washington International,,DL,Delta,Baltimore,6/1/2013,,4,Cancelled,MD
0%,DTW,Detroit Metro Wayne County,,DL,Delta,Detroit,6/1/2013,,15,Cancelled,MI
0%,MSP,Minneapolis-St Paul International,,DL,Delta,Minneapolis,6/1/2013,,15,Cancelled,MN
,CLT,Charlotte Douglas International,,DL,Delta,Charlotte,6/1/2013,,0,Cancelled,NC
0%,EWR,Newark Liberty International,,DL,Delta,Newark,6/1/2013,,10,Cancelled,NJ
0%,LAS,McCarran International,,DL,Delta,Las Vegas,6/1/2013,,7,Cancelled,NV
0%,JFK,John F. Kennedy International,,DL,Delta,New York,6/1/2013,,9,Cancelled,NY
0%,LGA,LaGuardia,,DL,Delta,New York,6/1/2013,,21,Cancelled,NY
0%,DFW,Dallas/Fort Worth International,,DL,Delta,Dallas/Fort Worth,6/1/2013,,3,Cancelled,TX
,IAH,George Bush Intercontinental,,DL,Delta,Houston,6/1/2013,,0,Cancelled,TX
0%,SLC,Salt Lake City International,,DL,Delta,Salt Lake City,6/1/2013,,9,Cancelled,UT
0%,SEA,Seattle/Tacoma International,,DL,Delta,Seattle,6/1/2013,,5,Cancelled,WA
,PHX,Phoenix Sky Harbor International,,EV,ExpressJet,Phoenix,6/1/2013,,0,Cancelled,AZ
0%,DEN,Denver International,,EV,ExpressJet,Denver,6/1/2013,,37,Cancelled,CO
,MCO,Orlando International,,EV,ExpressJet,Orlando,6/1/2013,,0,Cancelled,FL
0%,ATL,Hartsfield-Jackson Atlanta,,EV,ExpressJet,Atlanta,6/1/2013,,268,Cancelled,GA
0%,ORD,Chicago O'Hare International,,EV,ExpressJet,Chicago,6/1/2013,,270,Cancelled,IL
0%,BOS,Logan International,,EV,ExpressJet,Boston,6/1/2013,,7,Cancelled,MA
0%,BWI,Baltimore/Washington International,,EV,ExpressJet,Baltimore,6/1/2013,,3,Cancelled,MD
0%,DTW,Detroit Metro Wayne County,,EV,ExpressJet,Detroit,6/1/2013,,68,Cancelled,MI
0%,MSP,Minneapolis-St Paul International,,EV,ExpressJet,Minneapolis,6/1/2013,,22,Cancelled,MN
0%,CLT,Charlotte Douglas International,,EV,ExpressJet,Charlotte,6/1/2013,,39,Cancelled,NC
0%,EWR,Newark Liberty International,,EV,ExpressJet,Newark,6/1/2013,,293,Cancelled,NJ
0%,JFK,John F. Kennedy International,,EV,ExpressJet,New York,6/1/2013,,11,Cancelled,NY
0%,LGA,LaGuardia,,EV,ExpressJet,New York,6/1/2013,,73,Cancelled,NY
0%,DFW,Dallas/Fort Worth International,,EV,ExpressJet,Dallas/Fort Worth,6/1/2013,,53,Cancelled,TX
0%,IAH,George Bush Intercontinental,,EV,ExpressJet,Houston,6/1/2013,,142,Cancelled,TX
,SLC,Salt Lake City International,,EV,ExpressJet,Salt Lake City,6/1/2013,,0,Cancelled,UT
,PHX,Phoenix Sky Harbor International,,F9,Frontier,Phoenix,6/1/2013,,0,Cancelled,AZ
,LAX,Los Angeles International,,F9,Frontier,Los Angeles,6/1/2013,,0,Cancelled,CA
,SFO,San Francisco International,,F9,Frontier,San Francisco,6/1/2013,,0,Cancelled,CA
0%,DEN,Denver International,,F9,Frontier,Denver,6/1/2013,,8,Cancelled,CO
0%,MCO,Orlando International,,F9,Frontier,Orlando,6/1/2013,,1,Cancelled,FL
0%,ATL,Hartsfield-Jackson Atlanta,,F9,Frontier,Atlanta,6/1/2013,,1,Cancelled,GA
,ORD,Chicago O'Hare International,,F9,Frontier,Chicago,6/1/2013,,0,Cancelled,IL
,DTW,Detroit Metro Wayne County,,F9,Frontier,Detroit,6/1/2013,,0,Cancelled,MI
,MSP,Minneapolis-St Paul International,,F9,Frontier,Minneapolis,6/1/2013,,0,Cancelled,MN
,LAS,McCarran International,,F9,Frontier,Las Vegas,6/1/2013,,0,Cancelled,NV
,LGA,LaGuardia,,F9,Frontier,New York,6/1/2013,,0,Cancelled,NY
,DFW,Dallas/Fort Worth International,,F9,Frontier,Dallas/Fort Worth,6/1/2013,,0,Cancelled,TX
,IAH,George Bush Intercontinental,,F9,Frontier,Houston,6/1/2013,,0,Cancelled,TX
,SLC,Salt Lake City International,,F9,Frontier,Salt Lake City,6/1/2013,,0,Cancelled,UT
,SEA,Seattle/Tacoma International,,F9,Frontier,Seattle,6/1/2013,,0,Cancelled,WA
,LAX,Los Angeles International,,FL,AirTran,Los Angeles,6/1/2013,,0,Cancelled,CA
0%,SFO,San Francisco International,,FL,AirTran,San Francisco,6/1/2013,,1,Cancelled,CA
,DEN,Denver International,,FL,AirTran,Denver,6/1/2013,,0,Cancelled,CO
0%,MCO,Orlando International,,FL,AirTran,Orlando,6/1/2013,,23,Cancelled,FL
0%,ATL,Hartsfield-Jackson Atlanta,,FL,AirTran,Atlanta,6/1/2013,,72,Cancelled,GA
0%,BOS,Logan International,,FL,AirTran,Boston,6/1/2013,,7,Cancelled,MA
0%,BWI,Baltimore/Washington International,,FL,AirTran,Baltimore,6/1/2013,,18,Cancelled,MD
0%,DTW,Detroit Metro Wayne County,,FL,AirTran,Detroit,6/1/2013,,6,Cancelled,MI
0%,MSP,Minneapolis-St Paul International,,FL,AirTran,Minneapolis,6/1/2013,,1,Cancelled,MN
,LAS,McCarran International,,FL,AirTran,Las Vegas,6/1/2013,,0,Cancelled,NV
0%,LGA,LaGuardia,,FL,AirTran,New York,6/1/2013,,9,Cancelled,NY
,PHX,Phoenix Sky Harbor International,,HA,Hawaiian,Phoenix,6/1/2013,,0,Cancelled,AZ
,LAX,Los Angeles International,,HA,Hawaiian,Los Angeles,6/1/2013,,0,Cancelled,CA
,SFO,San Francisco International,,HA,Hawaiian,San Francisco,6/1/2013,,0,Cancelled,CA
,LAS,McCarran International,,HA,Hawaiian,Las Vegas,6/1/2013,,0,Cancelled,NV
,JFK,John F. Kennedy International,,HA,Hawaiian,New York,6/1/2013,,0,Cancelled,NY
,SEA,Seattle/Tacoma International,,HA,Hawaiian,Seattle,6/1/2013,,0,Cancelled,WA
0%,LAX,Los Angeles International,,MQ,A. Eagle,Los Angeles,6/1/2013,,26,Cancelled,CA
0%,DEN,Denver International,,MQ,A. Eagle,Denver,6/1/2013,,7,Cancelled,CO
0%,ATL,Hartsfield-Jackson Atlanta,,MQ,A. Eagle,Atlanta,6/1/2013,,33,Cancelled,GA
0%,ORD,Chicago O'Hare International,,MQ,A. Eagle,Chicago,6/1/2013,,429,Cancelled,IL
0%,BWI,Baltimore/Washington International,,MQ,A. Eagle,Baltimore,6/1/2013,,16,Cancelled,MD
0%,DTW,Detroit Metro Wayne County,,MQ,A. Eagle,Detroit,6/1/2013,,33,Cancelled,MI
0%,MSP,Minneapolis-St Paul International,,MQ,A. Eagle,Minneapolis,6/1/2013,,12,Cancelled,MN
0%,CLT,Charlotte Douglas International,,MQ,A. Eagle,Charlotte,6/1/2013,,25,Cancelled,NC
0%,EWR,Newark Liberty International,,MQ,A. Eagle,Newark,6/1/2013,,25,Cancelled,NJ
0%,JFK,John F. Kennedy International,,MQ,A. Eagle,New York,6/1/2013,,43,Cancelled,NY
0%,LGA,LaGuardia,,MQ,A. Eagle,New York,6/1/2013,,128,Cancelled,NY
0%,DFW,Dallas/Fort Worth International,,MQ,A. Eagle,Dallas/Fort Worth,6/1/2013,,144,Cancelled,TX
0%,IAH,George Bush Intercontinental,,MQ,A. Eagle,Houston,6/1/2013,,7,Cancelled,TX
0%,SLC,Salt Lake City International,,MQ,A. Eagle,Salt Lake City,6/1/2013,,2,Cancelled,UT
0%,PHX,Phoenix Sky Harbor International,,OO,SkyWest,Phoenix,6/1/2013,,41,Cancelled,AZ
0%,LAX,Los Angeles International,,OO,SkyWest,Los Angeles,6/1/2013,,81,Cancelled,CA
0%,SFO,San Francisco International,,OO,SkyWest,San Francisco,6/1/2013,,330,Cancelled,CA
0%,DEN,Denver International,,OO,SkyWest,Denver,6/1/2013,,82,Cancelled,CO
,MCO,Orlando International,,OO,SkyWest,Orlando,6/1/2013,,0,Cancelled,FL
0%,ATL,Hartsfield-Jackson Atlanta,,OO,SkyWest,Atlanta,6/1/2013,,4,Cancelled,GA
0%,ORD,Chicago O'Hare International,,OO,SkyWest,Chicago,6/1/2013,,112,Cancelled,IL
,BWI,Baltimore/Washington International,,OO,SkyWest,Baltimore,6/1/2013,,0,Cancelled,MD
0%,DTW,Detroit Metro Wayne County,,OO,SkyWest,Detroit,6/1/2013,,6,Cancelled,MI
0%,MSP,Minneapolis-St Paul International,,OO,SkyWest,Minneapolis,6/1/2013,,37,Cancelled,MN
,CLT,Charlotte Douglas International,,OO,SkyWest,Charlotte,6/1/2013,,0,Cancelled,NC
,EWR,Newark Liberty International,,OO,SkyWest,Newark,6/1/2013,,0,Cancelled,NJ
0%,LAS,McCarran International,,OO,SkyWest,Las Vegas,6/1/2013,,4,Cancelled,NV
0%,DFW,Dallas/Fort Worth International,,OO,SkyWest,Dallas/Fort Worth,6/1/2013,,5,Cancelled,TX
0%,IAH,George Bush Intercontinental,,OO,SkyWest,Houston,6/1/2013,,20,Cancelled,TX
0%,SLC,Salt Lake City International,,OO,SkyWest,Salt Lake City,6/1/2013,,54,Cancelled,UT
0%,SEA,Seattle/Tacoma International,,OO,SkyWest,Seattle,6/1/2013,,8,Cancelled,WA
0%,PHX,Phoenix Sky Harbor International,,UA,United,Phoenix,6/1/2013,,4,Cancelled,AZ
0%,LAX,Los Angeles International,,UA,United,Los Angeles,6/1/2013,,34,Cancelled,CA
0%,SFO,San Francisco International,,UA,United,San Francisco,6/1/2013,,74,Cancelled,CA
0%,DEN,Denver International,,UA,United,Denver,6/1/2013,,34,Cancelled,CO
0%,MCO,Orlando International,,UA,United,Orlando,6/1/2013,,2,Cancelled,FL
0%,ATL,Hartsfield-Jackson Atlanta,,UA,United,Atlanta,6/1/2013,,2,Cancelled,GA
0%,ORD,Chicago O'Hare International,,UA,United,Chicago,6/1/2013,,125,Cancelled,IL
0%,BOS,Logan International,,UA,United,Boston,6/1/2013,,12,Cancelled,MA
0%,BWI,Baltimore/Washington International,,UA,United,Baltimore,6/1/2013,,3,Cancelled,MD
,DTW,Detroit Metro Wayne County,,UA,United,Detroit,6/1/2013,,0,Cancelled,MI
0%,MSP,Minneapolis-St Paul International,,UA,United,Minneapolis,6/1/2013,,1,Cancelled,MN
0%,CLT,Charlotte Douglas International,,UA,United,Charlotte,6/1/2013,,2,Cancelled,NC
0%,EWR,Newark Liberty International,,UA,United,Newark,6/1/2013,,47,Cancelled,NJ
0%,LAS,McCarran International,,UA,United,Las Vegas,6/1/2013,,10,Cancelled,NV
0%,JFK,John F. Kennedy International,,UA,United,New York,6/1/2013,,2,Cancelled,NY
0%,LGA,LaGuardia,,UA,United,New York,6/1/2013,,21,Cancelled,NY
0%,DFW,Dallas/Fort Worth International,,UA,United,Dallas/Fort Worth,6/1/2013,,3,Cancelled,TX
0%,IAH,George Bush Intercontinental,,UA,United,Houston,6/1/2013,,67,Cancelled,TX
0%,SLC,Salt Lake City International,,UA,United,Salt Lake City,6/1/2013,,1,Cancelled,UT
0%,SEA,Seattle/Tacoma International,,UA,United,Seattle,6/1/2013,,9,Cancelled,WA
0%,PHX,Phoenix Sky Harbor International,,US,US Airways,Phoenix,6/1/2013,,79,Cancelled,AZ
0%,LAX,Los Angeles International,,US,US Airways,Los Angeles,6/1/2013,,1,Cancelled,CA
0%,SFO,San Francisco International,,US,US Airways,San Francisco,6/1/2013,,8,Cancelled,CA
,DEN,Denver International,,US,US Airways,Denver,6/1/2013,,0,Cancelled,CO
0%,MCO,Orlando International,,US,US Airways,Orlando,6/1/2013,,4,Cancelled,FL
0%,ATL,Hartsfield-Jackson Atlanta,,US,US Airways,Atlanta,6/1/2013,,11,Cancelled,GA
0%,ORD,Chicago O'Hare International,,US,US Airways,Chicago,6/1/2013,,7,Cancelled,IL
0%,BOS,Logan International,,US,US Airways,Boston,6/1/2013,,56,Cancelled,MA
0%,BWI,Baltimore/Washington International,,US,US Airways,Baltimore,6/1/2013,,3,Cancelled,MD
0%,DTW,Detroit Metro Wayne County,,US,US Airways,Detroit,6/1/2013,,3,Cancelled,MI
0%,MSP,Minneapolis-St Paul International,,US,US Airways,Minneapolis,6/1/2013,,1,Cancelled,MN
0%,CLT,Charlotte Douglas International,,US,US Airways,Charlotte,6/1/2013,,65,Cancelled,NC
0%,EWR,Newark Liberty International,,US,US Airways,Newark,6/1/2013,,8,Cancelled,NJ
0%,LAS,McCarran International,,US,US Airways,Las Vegas,6/1/2013,,7,Cancelled,NV
0%,JFK,John F. Kennedy International,,US,US Airways,New York,6/1/2013,,1,Cancelled,NY
0%,LGA,LaGuardia,,US,US Airways,New York,6/1/2013,,74,Cancelled,NY
0%,DFW,Dallas/Fort Worth International,,US,US Airways,Dallas/Fort Worth,6/1/2013,,7,Cancelled,TX
0%,IAH,George Bush Intercontinental,,US,US Airways,Houston,6/1/2013,,7,Cancelled,TX
0%,SLC,Salt Lake City International,,US,US Airways,Salt Lake City,6/1/2013,,4,Cancelled,UT
0%,SEA,Seattle/Tacoma International,,US,US Airways,Seattle,6/1/2013,,2,Cancelled,WA
0%,LAX,Los Angeles International,,VX,Virgin,Los Angeles,6/1/2013,,1,Cancelled,CA
0%,SFO,San Francisco International,,VX,Virgin,San Francisco,6/1/2013,,3,Cancelled,CA
,MCO,Orlando International,,VX,Virgin,Orlando,6/1/2013,,0,Cancelled,FL
,ORD,Chicago O'Hare International,,VX,Virgin,Chicago,6/1/2013,,0,Cancelled,IL
,BOS,Logan International,,VX,Virgin,Boston,6/1/2013,,0,Cancelled,MA
,EWR,Newark Liberty International,,VX,Virgin,Newark,6/1/2013,,0,Cancelled,NJ
,LAS,McCarran International,,VX,Virgin,Las Vegas,6/1/2013,,0,Cancelled,NV
,JFK,John F. Kennedy International,,VX,Virgin,New York,6/1/2013,,0,Cancelled,NY
,DFW,Dallas/Fort Worth International,,VX,Virgin,Dallas/Fort Worth,6/1/2013,,0,Cancelled,TX
0%,SEA,Seattle/Tacoma International,,VX,Virgin,Seattle,6/1/2013,,1,Cancelled,WA
0%,PHX,Phoenix Sky Harbor International,,WN,Southwest,Phoenix,6/1/2013,,48,Cancelled,AZ
0%,LAX,Los Angeles International,,WN,Southwest,Los Angeles,6/1/2013,,56,Cancelled,CA
0%,SFO,San Francisco International,,WN,Southwest,San Francisco,6/1/2013,,67,Cancelled,CA
0%,DEN,Denver International,,WN,Southwest,Denver,6/1/2013,,6,Cancelled,CO
0%,MCO,Orlando International,,WN,Southwest,Orlando,6/1/2013,,3,Cancelled,FL
0%,ATL,Hartsfield-Jackson Atlanta,,WN,Southwest,Atlanta,6/1/2013,,3,Cancelled,GA
0%,BOS,Logan International,,WN,Southwest,Boston,6/1/2013,,3,Cancelled,MA
0%,BWI,Baltimore/Washington International,,WN,Southwest,Baltimore,6/1/2013,,49,Cancelled,MD
0%,DTW,Detroit Metro Wayne County,,WN,Southwest,Detroit,6/1/2013,,5,Cancelled,MI
0%,MSP,Minneapolis-St Paul International,,WN,Southwest,Minneapolis,6/1/2013,,3,Cancelled,MN
,CLT,Charlotte Douglas International,,WN,Southwest,Charlotte,6/1/2013,,0,Cancelled,NC
0%,EWR,Newark Liberty International,,WN,Southwest,Newark,6/1/2013,,5,Cancelled,NJ
0%,LAS,McCarran International,,WN,Southwest,Las Vegas,6/1/2013,,42,Cancelled,NV
0%,LGA,LaGuardia,,WN,Southwest,New York,6/1/2013,,3,Cancelled,NY
0%,SLC,Salt Lake City International,,WN,Southwest,Salt Lake City,6/1/2013,,1,Cancelled,UT
0%,SEA,Seattle/Tacoma International,,WN,Southwest,Seattle,6/1/2013,,1,Cancelled,WA
0%,PHX,Phoenix Sky Harbor International,,YV,Mesa,Phoenix,6/1/2013,,32,Cancelled,AZ
0%,ATL,Hartsfield-Jackson Atlanta,,YV,Mesa,Atlanta,6/1/2013,,5,Cancelled,GA
0%,ORD,Chicago O'Hare International,,YV,Mesa,Chicago,6/1/2013,,60,Cancelled,IL
,BWI,Baltimore/Washington International,,YV,Mesa,Baltimore,6/1/2013,,0,Cancelled,MD
0%,DTW,Detroit Metro Wayne County,,YV,Mesa,Detroit,6/1/2013,,12,Cancelled,MI
0%,CLT,Charlotte Douglas International,,YV,Mesa,Charlotte,6/1/2013,,83,Cancelled,NC
0%,LGA,LaGuardia,,YV,Mesa,New York,6/1/2013,,9,Cancelled,NY
0%,DFW,Dallas/Fort Worth International,,YV,Mesa,Dallas/Fort Worth,6/1/2013,,1,Cancelled,TX
100%,DEN,Denver International,110,9E,Pinnacle,Denver,6/1/2013,189,1.72,Delayed by Carrier,CO
100%,ATL,Hartsfield-Jackson Atlanta,103,9E,Pinnacle,Atlanta,6/1/2013,2944,28.7,Delayed by Carrier,GA
100%,ORD,Chicago O'Hare International,88,9E,Pinnacle,Chicago,6/1/2013,1982,22.4,Delayed by Carrier,IL
100%,BOS,Logan International,60,9E,Pinnacle,Boston,6/1/2013,1279,21.27,Delayed by Carrier,MA
100%,BWI,Baltimore/Washington International,60,9E,Pinnacle,Baltimore,6/1/2013,783,13.12,Delayed by Carrier,MD
100%,DTW,Detroit Metro Wayne County,87,9E,Pinnacle,Detroit,6/1/2013,17487,200.78,Delayed by Carrier,MI
100%,MSP,Minneapolis-St Paul International,98,9E,Pinnacle,Minneapolis,6/1/2013,12775,130.73,Delayed by Carrier,MN
100%,CLT,Charlotte Douglas International,81,9E,Pinnacle,Charlotte,6/1/2013,1229,15.14,Delayed by Carrier,NC
100%,EWR,Newark Liberty International,86,9E,Pinnacle,Newark,6/1/2013,837,9.69,Delayed by Carrier,NJ
100%,JFK,John F. Kennedy International,83,9E,Pinnacle,New York,6/1/2013,5174,62.01,Delayed by Carrier,NY
100%,LGA,LaGuardia,50,9E,Pinnacle,New York,6/1/2013,330,6.54,Delayed by Carrier,NY
100%,DFW,Dallas/Fort Worth International,85,9E,Pinnacle,Dallas/Fort Worth,6/1/2013,1275,15.07,Delayed by Carrier,TX
100%,IAH,George Bush Intercontinental,31,9E,Pinnacle,Houston,6/1/2013,160,5.13,Delayed by Carrier,TX
100%,SLC,Salt Lake City International,87,9E,Pinnacle,Salt Lake City,6/1/2013,1043,11.99,Delayed by Carrier,UT
100%,PHX,Phoenix Sky Harbor International,59,AA,American,Phoenix,6/1/2013,2438,40.98,Delayed by Carrier,AZ
100%,LAX,Los Angeles International,65,AA,American,Los Angeles,6/1/2013,11098,170.28,Delayed by Carrier,CA
100%,SFO,San Francisco International,62,AA,American,San Francisco,6/1/2013,5110,82.36,Delayed by Carrier,CA
100%,DEN,Denver International,49,AA,American,Denver,6/1/2013,2417,49.25,Delayed by Carrier,CO
100%,MCO,Orlando International,55,AA,American,Orlando,6/1/2013,4639,84.31,Delayed by Carrier,FL
100%,ATL,Hartsfield-Jackson Atlanta,60,AA,American,Atlanta,6/1/2013,2147,35.69,Delayed by Carrier,GA
100%,ORD,Chicago O'Hare International,101,AA,American,Chicago,6/1/2013,23043,227.67,Delayed by Carrier,IL
100%,BOS,Logan International,54,AA,American,Boston,6/1/2013,3360,62.44,Delayed by Carrier,MA
100%,BWI,Baltimore/Washington International,53,AA,American,Baltimore,6/1/2013,1337,25.44,Delayed by Carrier,MD
100%,DTW,Detroit Metro Wayne County,54,AA,American,Detroit,6/1/2013,1614,29.96,Delayed by Carrier,MI
100%,MSP,Minneapolis-St Paul International,58,AA,American,Minneapolis,6/1/2013,1508,25.82,Delayed by Carrier,MN
100%,CLT,Charlotte Douglas International,33,AA,American,Charlotte,6/1/2013,484,14.6,Delayed by Carrier,NC
100%,EWR,Newark Liberty International,54,AA,American,Newark,6/1/2013,752,13.8,Delayed by Carrier,NJ
100%,LAS,McCarran International,55,AA,American,Las Vegas,6/1/2013,3728,67.88,Delayed by Carrier,NV
100%,JFK,John F. Kennedy International,83,AA,American,New York,6/1/2013,3440,41.34,Delayed by Carrier,NY
100%,LGA,LaGuardia,69,AA,American,New York,6/1/2013,3866,55.9,Delayed by Carrier,NY
100%,DFW,Dallas/Fort Worth International,100,AA,American,Dallas/Fort Worth,6/1/2013,62101,624.13,Delayed by Carrier,TX
100%,IAH,George Bush Intercontinental,67,AA,American,Houston,6/1/2013,2635,39.22,Delayed by Carrier,TX
100%,SLC,Salt Lake City International,38,AA,American,Salt Lake City,6/1/2013,857,22.35,Delayed by Carrier,UT
100%,SEA,Seattle/Tacoma International,41,AA,American,Seattle,6/1/2013,1875,46,Delayed by Carrier,WA
100%,PHX,Phoenix Sky Harbor International,36,AS,Alaska,Phoenix,6/1/2013,224,6.23,Delayed by Carrier,AZ
100%,LAX,Los Angeles International,36,AS,Alaska,Los Angeles,6/1/2013,1042,29.09,Delayed by Carrier,CA
100%,SFO,San Francisco International,55,AS,Alaska,San Francisco,6/1/2013,636,11.52,Delayed by Carrier,CA
100%,DEN,Denver International,32,AS,Alaska,Denver,6/1/2013,190,6,Delayed by Carrier,CO
100%,MCO,Orlando International,69,AS,Alaska,Orlando,6/1/2013,245,3.55,Delayed by Carrier,FL
100%,ATL,Hartsfield-Jackson Atlanta,35,AS,Alaska,Atlanta,6/1/2013,117,3.34,Delayed by Carrier,GA
100%,ORD,Chicago O'Hare International,45,AS,Alaska,Chicago,6/1/2013,120,2.64,Delayed by Carrier,IL
100%,BOS,Logan International,32,AS,Alaska,Boston,6/1/2013,164,5.09,Delayed by Carrier,MA
100%,MSP,Minneapolis-St Paul International,16,AS,Alaska,Minneapolis,6/1/2013,16,1,Delayed by Carrier,MN
100%,EWR,Newark Liberty International,31,AS,Alaska,Newark,6/1/2013,54,1.74,Delayed by Carrier,NJ
100%,LAS,McCarran International,39,AS,Alaska,Las Vegas,6/1/2013,357,9.16,Delayed by Carrier,NV
100%,DFW,Dallas/Fort Worth International,50,AS,Alaska,Dallas/Fort Worth,6/1/2013,100,2,Delayed by Carrier,TX
100%,IAH,George Bush Intercontinental,73,AS,Alaska,Houston,6/1/2013,146,2,Delayed by Carrier,TX
100%,SLC,Salt Lake City International,18,AS,Alaska,Salt Lake City,6/1/2013,24,1.3,Delayed by Carrier,UT
100%,SEA,Seattle/Tacoma International,57,AS,Alaska,Seattle,6/1/2013,6157,108.81,Delayed by Carrier,WA
100%,PHX,Phoenix Sky Harbor International,66,B6,JetBlue,Phoenix,6/1/2013,810,12.28,Delayed by Carrier,AZ
100%,LAX,Los Angeles International,76,B6,JetBlue,Los Angeles,6/1/2013,2198,28.98,Delayed by Carrier,CA
100%,SFO,San Francisco International,108,B6,JetBlue,San Francisco,6/1/2013,3210,29.64,Delayed by Carrier,CA
100%,DEN,Denver International,65,B6,JetBlue,Denver,6/1/2013,764,11.72,Delayed by Carrier,CO
100%,MCO,Orlando International,66,B6,JetBlue,Orlando,6/1/2013,8548,129.91,Delayed by Carrier,FL
100%,ORD,Chicago O'Hare International,79,B6,JetBlue,Chicago,6/1/2013,1194,15.03,Delayed by Carrier,IL
100%,BOS,Logan International,76,B6,JetBlue,Boston,6/1/2013,13057,172.27,Delayed by Carrier,MA
100%,BWI,Baltimore/Washington International,63,B6,JetBlue,Baltimore,6/1/2013,995,15.76,Delayed by Carrier,MD
100%,CLT,Charlotte Douglas International,51,B6,JetBlue,Charlotte,6/1/2013,413,8.13,Delayed by Carrier,NC
100%,EWR,Newark Liberty International,79,B6,JetBlue,Newark,6/1/2013,2262,28.81,Delayed by Carrier,NJ
100%,LAS,McCarran International,61,B6,JetBlue,Las Vegas,6/1/2013,2269,37.17,Delayed by Carrier,NV
100%,JFK,John F. Kennedy International,71,B6,JetBlue,New York,6/1/2013,13286,187.62,Delayed by Carrier,NY
100%,LGA,LaGuardia,76,B6,JetBlue,New York,6/1/2013,1544,20.41,Delayed by Carrier,NY
